,X,Y
0,2,426
1,6,426
2,10,426
3,14,426
4,18,426
5,22,426
6,26,426
7,30,426
8,34,426
9,38,426
10,42,426
11,46,426
12,50,422
13,58,418
14,70,414
15,74,414
16,78,410
17,82,410
18,86,410
19,90,410
20,94,410
21,98,410
22,102,410
23,106,410
24,110,410
25,114,414
26,118,414
27,122,414
28,142,442
29,146,442
30,150,450
31,154,450
32,158,454
33,162,454
34,166,458
35,170,462
36,174,486
37,178,486
38,182,490
39,186,490
40,190,490
41,194,490
42,198,490
43,202,490
44,206,490
45,210,490
46,214,490
47,218,490
48,222,490
49,226,490
50,230,494
51,234,494
52,238,494
53,242,494
54,246,498
55,250,498
56,254,498
57,258,498
58,262,502
59,266,502
60,270,502
61,274,506
62,278,506
63,282,510
64,286,510
65,290,510
66,294,510
67,298,514
68,302,518
69,306,518
70,310,522
71,314,522
72,318,522
73,322,526
74,326,522
75,330,522
76,334,522
77,338,526
78,342,526
79,346,526
80,350,526
81,354,526
82,358,530
83,362,530
84,366,530
85,370,534
86,374,538
87,378,538
88,382,542
89,386,542
90,390,546
91,394,554
92,398,554
93,402,554
94,406,554
95,410,558
96,414,558
97,418,558
98,422,558
99,426,562
100,430,562
101,434,562
102,438,562
103,442,562
104,446,558
105,450,558
106,454,558
107,458,562
108,462,566
109,466,562
110,470,566
111,474,570
112,478,570
113,482,570
114,486,570
115,490,574
116,494,574
117,498,574
118,502,574
119,506,574
120,510,578
121,514,578
122,518,578
123,522,578
124,526,578
125,530,582
126,534,582
127,538,582
128,542,582
129,546,586
130,550,586
131,554,586
132,558,590
133,562,590
134,566,590
135,570,590
136,574,594
137,578,594
138,582,594
139,586,594
140,590,594
141,594,594
142,598,598
143,602,598
144,606,602
145,610,602
