,X,Y
0,6,482
1,10,482
2,14,482
3,18,482
4,22,482
5,26,482
6,30,482
7,34,478
8,38,474
9,42,474
10,46,474
11,50,470
12,58,470
13,62,466
14,66,466
15,74,466
16,78,462
17,82,462
18,86,462
19,90,462
20,94,462
21,98,462
22,102,462
23,106,462
24,110,458
25,114,458
26,118,458
27,122,458
28,126,458
29,130,462
30,134,478
31,138,482
32,142,482
33,146,486
34,150,486
35,154,490
36,158,494
37,162,514
38,166,518
39,170,522
40,174,526
41,178,526
42,182,526
43,186,530
44,190,530
45,194,530
46,198,534
47,202,534
48,206,534
49,210,538
50,214,538
51,218,538
52,222,538
53,226,538
54,230,538
55,234,542
56,238,538
57,242,542
58,246,538
59,250,542
60,254,542
61,258,542
62,262,542
63,266,542
64,270,542
65,274,542
66,278,542
67,282,542
68,290,550
69,294,554
70,298,554
71,302,554
72,306,554
73,310,558
74,314,558
75,318,562
76,322,562
77,326,566
78,330,566
79,334,566
80,338,570
81,342,570
82,346,570
83,350,574
84,354,574
85,358,578
86,362,578
87,366,582
88,370,586
89,374,586
90,378,590
91,382,594
92,386,594
93,390,598
94,394,598
95,398,602
96,402,602
97,406,602
98,410,606
99,414,606
100,418,606
101,422,610
102,426,610
103,430,610
104,434,614
105,438,614
106,442,614
107,446,614
108,450,618
109,454,618
110,458,618
111,462,618
112,466,618
113,470,618
114,474,622
115,478,622
116,482,622
117,486,626
118,490,626
119,494,626
120,498,626
121,502,626
122,506,626
123,510,626
124,514,630
125,518,634
126,522,634
127,526,638
128,530,638
129,534,638
130,538,638
