,X,Y
0,6,382
1,14,382
2,38,366
3,42,366
4,46,366
5,50,366
6,54,362
7,58,362
8,62,362
9,66,362
10,70,358
11,78,354
12,82,354
13,86,350
14,90,350
15,94,350
16,98,350
17,102,346
18,106,350
19,110,350
20,114,350
21,118,350
22,122,350
23,126,354
24,130,354
25,134,354
26,138,354
27,142,398
28,146,398
29,150,402
30,154,406
31,158,410
32,162,410
33,170,434
34,174,438
35,178,442
36,182,442
37,186,446
38,190,446
39,194,446
40,198,446
41,202,450
42,206,450
43,210,450
44,214,450
45,218,450
46,222,450
47,226,450
48,230,450
49,234,450
50,238,450
51,242,450
52,246,450
53,250,454
54,254,450
55,258,454
56,262,454
57,266,454
58,270,454
59,274,458
60,278,458
61,282,458
62,286,466
63,290,466
64,294,466
65,298,466
66,302,470
67,310,482
68,314,486
69,318,486
70,322,490
71,326,490
72,330,490
73,334,490
74,338,490
75,342,490
76,346,490
77,350,490
78,354,494
79,358,494
80,362,494
81,366,494
82,370,494
83,374,494
84,378,498
85,382,502
86,386,502
87,390,506
88,394,510
89,398,510
90,402,510
91,406,514
92,410,514
93,414,514
94,418,518
95,422,518
96,426,518
97,430,518
98,434,522
99,438,518
100,442,522
101,446,518
102,450,522
103,454,518
104,458,522
105,462,522
106,466,522
107,470,522
108,474,522
109,478,526
110,482,526
111,486,526
112,490,530
113,494,530
114,498,530
115,502,530
116,506,530
117,510,534
118,514,534
119,518,534
120,522,538
121,526,534
122,530,538
123,534,538
124,538,538
125,542,538
126,546,538
127,550,542
128,554,542
129,558,542
130,562,546
131,566,546
132,570,546
133,574,550
134,578,550
135,582,554
136,586,554
137,590,558
138,594,562
139,602,578
140,606,578
141,610,582
142,614,582
143,618,586
