,X,Y
0,2,402
1,6,402
2,10,402
3,14,402
4,18,402
5,22,402
6,26,402
7,30,402
8,34,402
9,38,398
10,42,402
11,46,402
12,50,402
13,54,398
14,58,398
15,62,398
16,66,398
17,98,378
18,102,374
19,106,378
20,110,378
21,114,382
22,118,382
23,122,382
24,126,386
25,130,394
26,134,418
27,138,414
28,142,418
29,146,422
30,150,422
31,154,422
32,158,442
33,162,442
34,166,442
35,170,446
36,174,462
37,178,462
38,182,466
39,186,466
40,190,470
41,194,470
42,198,470
43,202,470
44,206,470
45,210,474
46,214,474
47,218,474
48,222,474
49,226,474
50,230,474
51,234,478
52,238,478
53,242,478
54,246,478
55,250,478
56,254,478
57,258,478
58,262,478
59,266,478
60,270,478
61,274,482
62,278,482
63,282,486
64,286,486
65,290,490
66,294,490
67,298,494
68,302,498
69,306,506
70,310,506
71,314,506
72,318,506
73,322,506
74,326,506
75,330,510
76,334,510
77,338,510
78,342,510
79,346,510
80,350,510
81,354,510
82,358,510
83,362,514
84,366,514
85,370,514
86,374,522
87,378,522
88,382,530
89,386,530
90,390,530
91,394,530
92,398,530
93,402,530
94,406,530
95,410,534
96,414,534
97,418,534
98,422,538
99,426,538
100,430,538
101,434,538
102,438,538
103,442,542
104,446,542
105,450,542
106,454,542
107,458,542
108,462,542
109,466,542
110,470,542
111,474,546
112,478,546
113,482,550
114,486,550
115,490,550
116,494,550
117,498,554
118,502,554
119,506,554
120,510,554
121,514,558
122,518,558
123,522,562
124,526,562
125,530,562
126,534,562
127,538,562
128,542,562
129,546,566
130,550,566
131,554,566
132,558,566
133,562,570
134,566,570
135,570,570
136,574,570
137,578,570
138,582,574
139,586,574
140,590,578
141,594,578
142,602,586
143,606,590
144,610,590
145,614,594
146,618,594
147,622,594
148,626,598
