,X,Y
0,14,418
1,18,422
2,22,418
3,26,422
4,30,418
5,34,422
6,38,418
7,42,422
8,46,418
9,50,418
10,54,418
11,58,418
12,82,406
13,90,406
14,94,406
15,98,406
16,102,406
17,106,406
18,110,406
19,114,406
20,118,406
21,122,406
22,126,410
23,130,406
24,154,446
25,158,450
26,162,450
27,166,474
28,170,478
29,174,478
30,178,482
31,182,482
32,186,486
33,190,486
34,194,486
35,198,486
36,202,486
37,206,486
38,210,486
39,214,486
40,218,486
41,222,486
42,226,490
43,230,486
44,234,490
45,238,490
46,242,490
47,246,490
48,250,490
49,254,494
50,258,494
51,262,494
52,266,498
53,270,498
54,274,502
55,278,502
56,282,506
57,286,506
58,290,510
59,294,510
60,298,514
61,302,514
62,306,518
63,310,518
64,314,518
65,318,518
66,322,518
67,326,518
68,330,522
69,334,522
70,338,522
71,342,518
72,346,522
73,350,522
74,354,522
75,358,526
76,362,526
77,366,530
78,370,530
79,374,534
80,378,538
81,382,538
82,386,538
83,390,542
84,394,542
85,398,546
86,402,546
87,406,550
88,410,554
89,414,554
90,418,558
91,422,558
92,426,558
93,430,558
94,434,558
95,438,554
96,442,554
97,446,554
98,450,558
99,454,558
100,458,558
101,462,558
102,466,562
103,470,562
104,474,566
105,478,566
106,482,566
107,486,566
108,490,570
109,494,570
110,498,570
111,502,574
112,506,574
113,510,574
114,514,574
115,518,578
116,522,578
117,526,578
118,530,578
119,534,578
120,538,578
121,542,582
122,546,582
123,550,582
124,554,586
125,558,586
126,562,586
127,566,586
128,570,590
129,574,590
130,578,590
131,582,590
132,586,590
133,590,594
134,594,594
135,598,598
136,602,598
137,606,598
138,610,602
139,614,602
