,X,Y
0,6,450
1,10,454
2,14,450
3,18,454
4,22,450
5,26,450
6,30,450
7,34,450
8,38,450
9,42,450
10,58,434
11,62,434
12,66,434
13,70,434
14,74,434
15,78,434
16,82,434
17,86,430
18,90,430
19,94,430
20,98,426
21,102,426
22,106,430
23,110,430
24,114,430
25,118,430
26,122,430
27,126,434
28,130,434
29,142,454
30,146,458
31,150,458
32,166,498
33,170,498
34,174,498
35,178,502
36,182,502
37,186,502
38,190,506
39,194,506
40,198,506
41,202,506
42,206,510
43,210,510
44,214,510
45,218,510
46,222,510
47,226,510
48,230,510
49,234,514
50,238,514
51,242,514
52,246,514
53,250,518
54,254,514
55,258,514
56,262,518
57,266,518
58,270,518
59,274,522
60,278,522
61,282,522
62,286,522
63,290,526
64,294,526
65,298,530
66,302,530
67,306,534
68,310,534
69,314,534
70,318,538
71,322,538
72,326,538
73,330,542
74,334,542
75,338,542
76,342,546
77,346,546
78,350,546
79,354,550
80,358,550
81,362,550
82,366,550
83,370,554
84,374,558
85,378,558
86,382,566
87,386,570
88,390,578
89,394,578
90,398,574
91,402,578
92,406,574
93,410,578
94,414,578
95,418,578
96,422,578
97,426,578
98,430,578
99,434,582
100,438,582
101,442,582
102,446,582
103,450,586
104,454,586
105,458,586
106,462,586
107,466,586
108,470,590
109,474,590
110,478,590
111,482,590
112,486,594
113,490,594
114,494,594
115,498,594
116,502,594
117,506,594
118,510,598
119,514,598
120,518,598
121,522,598
122,526,602
123,530,602
124,534,602
125,538,602
126,542,606
127,546,606
128,550,606
129,554,606
130,558,610
131,566,610
132,574,610
133,578,610
134,582,614
135,586,614
136,598,622
137,602,626
138,606,626
139,610,626
