,X,Y
0,10,430
1,14,430
2,18,430
3,22,430
4,26,434
5,30,434
6,34,434
7,38,430
8,42,430
9,46,430
10,50,426
11,54,426
12,58,426
13,62,422
14,70,418
15,74,418
16,78,418
17,82,418
18,86,414
19,90,418
20,94,418
21,98,418
22,102,418
23,106,418
24,110,418
25,114,418
26,118,414
27,122,414
28,126,414
29,130,414
30,134,446
31,138,450
32,142,450
33,146,450
34,150,450
35,154,454
36,158,458
37,162,458
38,166,466
39,170,462
40,174,490
41,178,490
42,182,490
43,186,494
44,190,494
45,194,494
46,198,494
47,202,494
48,206,494
49,210,494
50,214,494
51,218,498
52,222,498
53,226,498
54,230,498
55,234,498
56,238,498
57,242,502
58,246,502
59,250,502
60,254,502
61,258,502
62,262,506
63,266,506
64,270,510
65,274,510
66,278,514
67,282,514
68,286,514
69,290,514
70,294,518
71,298,518
72,302,522
73,306,522
74,310,526
75,314,526
76,318,526
77,322,526
78,326,530
79,330,530
80,334,530
81,338,530
82,342,530
83,346,530
84,350,530
85,354,534
86,358,534
87,362,534
88,366,534
89,370,538
90,382,542
91,386,546
92,390,550
93,394,554
94,398,558
95,402,558
96,406,562
97,410,562
98,414,562
99,418,566
100,422,566
101,426,566
102,430,566
103,434,566
104,438,566
105,442,566
106,446,566
107,450,566
108,454,566
109,458,570
110,462,570
111,466,570
112,470,574
113,474,574
114,478,578
115,482,578
116,486,578
117,490,578
118,494,578
119,498,582
120,502,582
121,506,582
122,510,582
123,514,582
124,518,586
125,522,586
126,526,586
127,530,586
128,534,586
129,538,590
130,542,590
131,546,590
132,550,594
133,554,594
134,558,594
135,562,594
136,566,598
137,570,598
138,574,598
139,578,598
140,582,598
141,586,598
