,X,Y
0,14,394
1,18,394
2,22,394
3,26,394
4,30,394
5,34,390
6,38,390
7,42,390
8,46,390
9,50,390
10,54,390
11,58,390
12,62,390
13,66,390
14,82,374
15,86,370
16,90,370
17,94,370
18,110,366
19,114,370
20,118,370
21,122,370
22,138,414
23,142,414
24,146,414
25,150,422
26,154,422
27,158,422
28,162,438
29,166,438
30,170,446
31,174,450
32,178,454
33,182,458
34,186,462
35,190,462
36,194,462
37,198,462
38,202,466
39,206,466
40,210,466
41,214,466
42,218,466
43,222,466
44,230,462
45,234,462
46,238,462
47,242,466
48,246,466
49,250,470
50,254,470
51,258,470
52,262,470
53,266,474
54,270,474
55,274,474
56,278,474
57,282,478
58,286,478
59,290,482
60,294,482
61,298,486
62,306,494
63,310,498
64,314,502
65,318,502
66,322,502
67,326,502
68,330,502
69,334,502
70,338,502
71,342,502
72,346,506
73,350,506
74,354,506
75,358,510
76,362,510
77,366,514
78,370,514
79,374,514
80,378,518
81,382,518
82,386,522
83,390,522
84,394,522
85,398,522
86,402,526
87,406,526
88,410,526
89,414,530
90,418,530
91,422,530
92,426,534
93,430,534
94,434,534
95,438,534
96,442,534
97,446,534
98,450,534
99,454,534
100,458,538
101,462,538
102,466,538
103,470,538
104,474,542
105,478,542
106,482,542
107,486,542
108,490,542
109,494,546
110,498,546
111,502,546
112,506,550
113,510,550
114,514,550
115,518,550
116,522,554
117,526,554
118,530,554
119,534,554
120,538,554
121,542,554
122,546,558
123,550,558
124,554,558
125,558,562
126,562,562
127,566,562
128,570,558
129,574,562
130,594,582
131,598,582
132,602,586
133,606,586
134,610,586
135,614,590
136,618,590
137,622,594
138,626,594
