,X,Y
0,14,494
1,18,494
2,22,494
3,26,494
4,30,490
5,34,490
6,38,486
7,62,474
8,66,474
9,70,474
10,74,474
11,78,474
12,82,474
13,86,474
14,90,474
15,94,474
16,98,474
17,102,474
18,106,474
19,110,470
20,114,470
21,118,470
22,122,470
23,126,478
24,130,474
25,134,482
26,138,482
27,142,486
28,146,486
29,162,522
30,166,530
31,170,530
32,174,534
33,178,534
34,182,534
35,186,538
36,190,538
37,194,538
38,198,542
39,202,542
40,206,546
41,210,546
42,214,546
43,218,546
44,222,546
45,226,546
46,230,546
47,234,550
48,238,546
49,242,550
50,246,550
51,250,550
52,254,550
53,258,550
54,262,550
55,266,554
56,270,550
57,274,554
58,278,554
59,282,554
60,286,558
61,290,558
62,294,562
63,298,562
64,302,566
65,306,566
66,310,566
67,314,570
68,318,570
69,322,570
70,326,574
71,330,574
72,334,574
73,338,578
74,342,578
75,346,578
76,350,582
77,354,586
78,358,586
79,362,586
80,366,590
81,370,594
82,374,594
83,378,594
84,382,606
85,386,606
86,390,610
87,394,610
88,398,614
89,402,614
90,406,614
91,410,618
92,414,618
93,418,618
94,422,618
95,426,618
96,430,618
97,434,618
98,438,618
99,458,626
100,462,626
101,466,626
102,470,626
