,X,Y
0,10,462
1,14,462
2,18,462
3,22,462
4,30,458
5,46,450
6,50,450
7,62,442
8,66,442
9,70,442
10,74,442
11,78,438
12,82,442
13,86,438
14,90,438
15,94,438
16,98,438
17,102,434
18,106,438
19,110,438
20,114,438
21,118,438
22,122,438
23,126,442
24,130,442
25,142,474
26,146,474
27,150,474
28,154,478
29,158,482
30,162,482
31,166,502
32,170,506
33,174,506
34,178,506
35,182,510
36,186,510
37,190,510
38,194,514
39,198,514
40,202,514
41,206,514
42,210,518
43,214,518
44,218,518
45,222,518
46,226,518
47,230,518
48,234,518
49,238,522
50,242,522
51,246,522
52,250,522
53,254,522
54,258,522
55,262,522
56,266,522
57,270,522
58,274,526
59,278,526
60,282,526
61,286,530
62,290,530
63,294,534
64,298,534
65,302,538
66,306,538
67,310,538
68,314,542
69,318,542
70,322,546
71,326,546
72,330,546
73,334,550
74,338,550
75,342,550
76,346,554
77,350,554
78,354,554
79,358,554
80,362,558
81,366,554
82,370,554
83,374,554
84,398,582
85,402,582
86,406,582
87,410,582
88,414,582
89,418,586
90,422,586
91,426,586
92,430,590
93,434,590
94,438,590
95,442,590
96,446,594
97,450,594
98,454,594
99,458,594
100,462,594
101,466,594
102,470,598
103,474,598
104,478,602
105,482,602
106,486,602
107,490,602
108,494,602
109,498,602
110,502,602
111,506,602
112,510,602
113,514,602
114,518,606
115,522,606
116,526,606
117,530,610
118,534,610
119,538,610
120,542,610
121,546,610
122,550,614
123,554,614
124,558,614
125,562,618
126,566,618
127,570,618
128,574,618
129,578,622
130,582,622
131,586,622
