,X,Y
0,14,426
1,18,426
2,22,426
3,26,430
4,30,426
5,34,426
6,38,426
7,42,426
8,46,426
9,50,426
10,54,422
11,58,422
12,62,422
13,66,422
14,70,418
15,74,418
16,78,414
17,82,414
18,86,410
19,90,414
20,94,414
21,98,414
22,102,414
23,106,414
24,110,414
25,114,414
26,118,414
27,122,414
28,126,414
29,130,414
30,134,422
31,138,422
32,150,454
33,154,454
34,158,454
35,162,458
36,166,458
37,170,462
38,174,486
39,178,490
40,182,490
41,186,490
42,190,490
43,194,490
44,198,490
45,202,490
46,206,490
47,210,490
48,214,490
49,218,494
50,222,494
51,226,494
52,230,494
53,234,494
54,238,498
55,242,498
56,246,498
57,250,498
58,254,502
59,258,502
60,262,502
61,266,502
62,270,506
63,274,506
64,278,510
65,282,510
66,286,510
67,290,514
68,294,514
69,298,514
70,302,518
71,306,522
72,310,522
73,314,522
74,318,526
75,322,526
76,326,526
77,330,526
78,334,530
79,338,530
80,342,526
81,346,530
82,350,530
83,354,530
84,358,530
85,362,534
86,366,534
87,370,534
88,374,554
89,378,554
90,382,542
91,386,542
92,394,554
93,398,554
94,402,554
95,406,558
96,410,558
97,414,558
98,418,562
99,422,562
100,426,562
101,430,562
102,434,562
103,438,562
104,442,562
105,446,562
106,450,562
107,454,566
108,458,566
109,462,566
110,466,570
111,470,570
112,474,570
113,478,574
114,482,574
115,486,574
116,490,574
117,494,574
118,498,578
119,502,578
120,506,578
121,510,578
122,514,578
123,518,578
124,522,582
125,526,582
126,530,582
127,534,582
128,538,582
129,542,586
130,546,586
131,550,590
132,554,590
133,558,590
134,562,594
135,566,594
136,570,594
137,574,594
138,578,594
139,582,594
140,586,594
141,590,594
142,594,594
143,598,598
