,X,Y
0,14,466
1,18,470
2,22,466
3,26,470
4,38,458
5,42,458
6,46,458
7,50,458
8,54,454
9,58,454
10,62,454
11,66,454
12,70,446
13,74,450
14,78,446
15,82,446
16,86,442
17,90,446
18,94,446
19,98,442
20,102,442
21,106,446
22,110,446
23,114,446
24,118,446
25,122,446
26,126,446
27,130,450
28,142,478
29,146,478
30,150,478
31,154,482
32,158,486
33,162,486
34,166,506
35,170,510
36,174,514
37,178,514
38,182,514
39,186,514
40,190,518
41,194,518
42,198,518
43,202,522
44,206,522
45,210,522
46,214,522
47,218,526
48,222,526
49,226,526
50,230,526
51,234,526
52,238,526
53,242,526
54,246,526
55,250,526
56,254,526
57,258,526
58,262,526
59,266,530
60,270,530
61,274,530
62,278,530
63,282,530
64,286,530
65,290,530
66,294,538
67,298,538
68,302,542
69,306,542
70,310,546
71,314,546
72,318,546
73,322,546
74,326,550
75,330,550
76,334,554
77,338,554
78,342,554
79,346,558
80,350,558
81,354,558
82,358,562
83,362,562
84,366,566
85,370,566
86,374,566
87,378,578
88,382,582
89,386,582
90,390,582
91,394,586
92,398,586
93,402,586
94,406,586
95,410,590
96,414,590
97,418,594
98,422,594
99,426,594
100,430,598
101,434,598
102,438,598
103,442,598
104,446,598
105,450,598
106,454,598
107,458,602
108,462,602
109,466,602
110,470,602
111,474,602
112,478,606
113,482,606
114,486,606
115,490,606
116,494,610
117,498,610
118,502,610
119,506,610
120,510,610
121,514,610
122,518,610
123,522,610
124,526,614
125,530,614
126,534,614
127,538,618
128,542,618
129,546,618
130,550,622
131,554,622
132,558,622
