,X,Y
0,2,454
1,6,454
2,10,454
3,14,454
4,18,454
5,22,454
6,26,454
7,30,450
8,34,454
9,38,450
10,42,450
11,58,442
12,62,438
13,66,438
14,70,434
15,74,438
16,78,434
17,82,434
18,86,434
19,90,434
20,94,430
21,98,430
22,102,430
23,106,430
24,110,430
25,114,434
26,118,434
27,122,434
28,126,434
29,130,438
30,134,446
31,138,446
32,142,450
33,146,450
34,154,470
35,158,478
36,162,478
37,166,482
38,170,498
39,174,502
40,178,502
41,182,506
42,186,506
43,190,506
44,194,506
45,198,510
46,202,510
47,206,510
48,210,510
49,214,514
50,218,514
51,222,514
52,226,514
53,230,514
54,234,514
55,238,514
56,242,518
57,246,518
58,250,518
59,254,518
60,258,518
61,262,518
62,266,518
63,270,518
64,274,522
65,278,522
66,282,522
67,286,522
68,290,526
69,294,526
70,298,530
71,302,534
72,306,534
73,310,534
74,314,538
75,318,538
76,322,542
77,326,542
78,330,542
79,334,542
80,338,546
81,342,546
82,346,546
83,350,550
84,354,550
85,358,550
86,362,554
87,366,554
88,370,554
89,374,562
90,378,562
91,382,566
92,386,570
93,390,570
94,394,574
95,398,574
96,402,574
97,406,574
98,410,578
99,414,578
100,418,578
101,422,582
102,426,582
103,430,582
104,434,582
105,438,582
106,442,586
107,446,586
108,450,586
109,454,586
110,458,590
111,462,590
112,466,590
113,470,590
114,474,594
115,478,594
116,482,594
117,486,594
118,490,598
119,494,598
120,498,598
121,502,594
122,506,598
123,518,598
124,522,598
125,526,602
126,530,602
127,534,602
128,538,602
129,542,606
130,546,606
131,550,610
132,554,610
133,558,610
134,562,610
135,566,614
136,570,614
137,574,614
138,578,614
139,582,614
140,586,618
141,590,618
142,594,618
143,598,622
144,602,622
